questionNumber,questionType,difficulty,module,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,audioFileName,imageFileName
1,Listen and Response,보통,Module 1,,,,,,,Choose the best response.,At the bus stop.,In ten minutes.,Across the street.,"Sure, let's go.",In ten minutes.,,,
2,Listen and Response,보통,Module 1,,,,,,,Choose the best response.,I didn't realize you worked at the dining hall.,For cleaning the tables at the campus café.,"Personally, I prefer going out with friends.","Surprisingly, it wasn't that expensive.","Personally, I prefer going out with friends.",,,
3,Listen and Response,보통,Module 1,,,,,,,Choose the best response.,It goes to the airport.,It's a fast train.,Not until tomorrow morning.,I got an early start.,Not until tomorrow morning.,,,
4,Listen and Response,보통,Module 1,,,,,,,Choose the best response.,Exercise is important for our well-being.,"No, unfortunately I hurt my ankle.",I recently discovered a good one that's not too far.,Tomorrow would be better.,I recently discovered a good one that's not too far.,,,
5,Listen and Response,보통,Module 1,,,,,,,Choose the best response.,The dining hall is open on Sundays.,I've never been inside.,His parties are always festive.,I'll do it first thing after class tomorrow.,I've never been inside.,,,
6,Listen and Response,보통,Module 1,,,,,,,Choose the best response.,Only on weekdays?,I don't know how to.,Feeling relieved?,They arrived late last night.,Feeling relieved?,,,
7,Listen and Response,보통,Module 1,,,,,,,Choose the best response.,It wasn't as exciting as I hoped it would be.,Do you want to go for a swim at the campus pool?,I always enjoy a good meal at the dining hall.,"No, I haven't joined the student activities committee.",It wasn't as exciting as I hoped it would be.,,,
8,Listen and Response,보통,Module 1,,,,,,,Choose the best response.,The class is exciting.,"Yes, I study with Sarah.",It's been a few years now.,I've enjoyed my time here.,It's been a few years now.,,,
9,Listen and Response,보통,Module 1,,,,,,,Choose the best response.,The soccer coach is really good.,"I love to sing, but I'm too busy.",Practice is the key to success.,I hear that the chef is excellent.,"I love to sing, but I'm too busy.",,,
10,Listen and Response,보통,Module 1,,,,,,,Choose the best response.,"Yes, I have a few ideas.","Yes, I read it yesterday.",The laboratory is on campus.,It felt good to finish on time.,"Yes, I have a few ideas.",,,
11,Listen and Response,보통,Module 1,,,,,,,Choose the best response.,It's on modern technology.,Because students requested it.,It's part of the lecture series.,A visiting researcher.,A visiting researcher.,,,
12,Listen and Response,보통,Module 1,,,,,,,Choose the best response.,Our grades will be posted tomorrow.,The dorm supervisor is authorized to sign for it.,It was sent yesterday.,You can track the status online.,You can track the status online.,,,
13,Short Conversation,보통,Module 1,Listen to a conversation.,,,,,,What does the woman imply about her cookies?,They included some chocolate.,They were baked based on a new recipe.,They ended up too hard.,They were sugar-free.,They ended up too hard.,,,
14,Short Conversation,보통,Module 1,Listen to a conversation.,,,,,,What will the woman do next?,Read her recipe book,Give the man some chocolate cake,Buy some ingredients,Call a store,Buy some ingredients,,,
15,Short Conversation,보통,Module 1,Listen to a conversation.,,,,,,"What is the man's complaint about ""WBSC in Washington""?",The plot is difficult to follow.,The humor is unoriginal.,The episodes are too long.,The show airs too late at night.,The plot is difficult to follow.,,,
16,Short Conversation,보통,Module 1,Listen to a conversation.,,,,,,"What does the woman suggest about ""WBSC in Washington""?",It replaced its writers from last season.,It is moving to a new time slot.,It is in its final season.,It is the subject of false rumors.,It is moving to a new time slot.,,,
17,Short Conversation,보통,Module 1,Listen to a conversation.,,,,,,What are the speakers discussing?,A movie,A theatrical production,A music concert,A comedy show,A theatrical production,,,
18,Short Conversation,보통,Module 1,Listen to a conversation.,,,,,,What will the man do?,Sell some items,Perform on stage,Get tickets,Post something online,Get tickets,,,
19,Announcements,보통,Module 1,Listen to an announcement at a university event.,,,,,,What does the speaker imply about last year's event?,The speeches ran much longer than expected.,Multiple speakers did not show up.,Several attendees were inappropriately dressed.,Noise from phones caused frequent disruptions.,Noise from phones caused frequent disruptions.,,,
20,Announcements,보통,Module 1,Listen to an announcement at a university event.,,,,,,What does the speaker say about tickets for the event?,They are only available digitally.,They are no longer on sale.,They can be obtained from the box office.,They include a copy of the dress code.,They can be obtained from the box office.,,,
21,Announcements,보통,Module 1,Listen to a school radio announcement.,,,,,,"According to the speaker, what change will begin next week?",New programs will be installed on the computers in the lab.,Equipment will have to be shut down by a specific time.,A computer lab will be closed in the afternoon.,Students will have to log in with different credentials.,Equipment will have to be shut down by a specific time.,,,
22,Announcements,보통,Module 1,Listen to a school radio announcement.,,,,,,What does the speaker recommend listeners do?,Use the computer lab in the evening,Reserve space in the computer lab in advance,Create a personal account,Save and back up all computer files,Reserve space in the computer lab in advance,,,
23,Announcements,보통,Module 1,Listen to a school radio announcement.,,,,,,What does the speaker remind the students about?,A revised class schedule,A time change,A club sign-up,A campus art installation,A time change,,,
24,Announcements,보통,Module 1,Listen to a school radio announcement.,,,,,,What does the speaker express appreciation for?,Energy conservation work,Warmer weather,A recent donation,A club's efforts,A club's efforts,,,
25,Academic Talk,보통,Module 1,Listen to a talk in an archaeology class.,,,,,,What is the main focus of the talk?,Ways in which ancient peoples supplied nitrogen and moisture to their fields,Similarities between gardens of ancient Rome and Central America,A method for studying planting practices of ancient cultures,An example of how modern agriculture can learn to benefit from ancient knowledge,A method for studying planting practices of ancient cultures,,,
26,Academic Talk,보통,Module 1,Listen to a talk in an archaeology class.,,,,,,Why do researchers inject plaster into soil?,To make the soil more stable,To protect plant roots in the soil,To replicate an ancient practice that existed in different parts of the world,To obtain casts that match decayed material in shape,To obtain casts that match decayed material in shape.,,,
27,Academic Talk,보통,Module 1,Listen to a talk in an archaeology class.,,,,,,What does the speaker say is a main feature of the agricultural system practiced in the Maya village in Central America?,It takes advantage of plants that do not decay quickly.,It combines a variety of crops that support each other's growth.,It relies on a complex irrigation system.,It changes crops from year to year.,It combines a variety of crops that support each other's growth.,,,
28,Academic Talk,보통,Module 1,Listen to a talk in an archaeology class.,,,,,,What does the speaker imply about Roman garden designers?,They tried to replicate nature.,They considered roses to be more beautiful than other flowers.,They valued both beauty and practicality.,They were interested in foreign plant species.,They valued both beauty and practicality.,,,
29,Academic Talk,보통,Module 1,Listen to a talk in a literature class.,,,,,,What is the main topic of the talk?,How mythology has shaped cultural traditions,Joseph Campbell's influence on storytelling techniques,The structure and significance of the hero's journey,Criticism of modern storytelling practices,The structure and significance of the hero's journey,,,
30,Academic Talk,보통,Module 1,Listen to a talk in a literature class.,,,,,,What point does the speaker make about Joseph Campbell?,He invented the hero's journey as a new storytelling model.,He examined why readers are drawn to heroic actions in stories.,He was best known for writing fiction based on ancient stories.,He found that stories from different cultures share a similar pattern.,He found that stories from different cultures share a similar pattern.,,,
31,Academic Talk,보통,Module 1,Listen to a talk in a literature class.,,,,,,Why does the speaker mention a gift?,To show appreciation for storytellers' creative talents,To point out what makes the hero's journey meaningful,To describe what the hero receives from a mentor,To highlight the hero's motivation for starting the journey,To describe what the hero receives from a mentor,,,
32,Academic Talk,보통,Module 1,Listen to a talk in a literature class.,,,,,,What is the speaker's opinion about the hero's journey in storytelling?,It is outdated and no longer relevant.,It limits creativity by focusing only on action and adventure.,It is influential because it reflects shared human experiences.,It has become more popular due to its use in film and media.,It is influential because it reflects shared human experiences.,,,
