questionNumber,questionType,difficulty,module,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,audioFileName,imageFileName,context
1,Listen and Repeat,보통,,,,You can select your section and seat.,,,,Listen and repeat only once.,,,,,,,,,Listen to the manager's instructions about a university sporting event. Repeat each sentence only once.
2,Listen and Repeat,보통,,,,We have many different snacks and drinks for sale.,,,,Listen and repeat only once.,,,,,,,,,Listen to the manager's instructions about a university sporting event. Repeat each sentence only once.
3,Listen and Repeat,보통,,,,Family toilets are located by each of the sections.,,,,Listen and repeat only once.,,,,,,,,,Listen to the manager's instructions about a university sporting event. Repeat each sentence only once.
4,Listen and Repeat,보통,,,,Tickets and season passes are available near the front gate.,,,,Listen and repeat only once.,,,,,,,,,Listen to the manager's instructions about a university sporting event. Repeat each sentence only once.
5,Listen and Repeat,보통,,,,The visitor entrance to the stadium is through here.,,,,Listen and repeat only once.,,,,,,,,,Listen to the manager's instructions about a university sporting event. Repeat each sentence only once.
6,Listen and Repeat,보통,,,,"Should you have questions about maps or event times, there are staff that can assist you.",,,,Listen and repeat only once.,,,,,,,,,Listen to the manager's instructions about a university sporting event. Repeat each sentence only once.
7,Listen and Repeat,보통,,,,You can download the map to your phone or tablet if you need any help navigating.,,,,Listen and repeat only once.,,,,,,,,,Listen to the manager's instructions about a university sporting event. Repeat each sentence only once.
8,Take an Interview,보통,,,,,,,,,"What kinds of places do you usually go to during the week, and how do you get there?",,,,,,,,,You have agreed to answer questions about commuting and travel routines. An interviewer will ask you some questions.
9,Take an Interview,보통,,,,,,,,,Can you describe how someone in your family or a friend usually travels to work or school? How much time does it take and what transportation does the person use?,,,,,,,,,You have agreed to answer questions about commuting and travel routines. An interviewer will ask you some questions.
10,Take an Interview,보통,,,,,,,,,"Some people believe that living close to work or school improves quality of life, while others think location does not matter much. What do you think and why?",,,,,,,,,You have agreed to answer questions about commuting and travel routines. An interviewer will ask you some questions.
11,Take an Interview,보통,,,,,,,,,"Some people believe that employers should reimburse employees for their commuting costs, while others think that employees should pay for their own travel to work. Which view do you agree with and why?",,,,,,,,,You have agreed to answer questions about commuting and travel routines. An interviewer will ask you some questions.
