questionNumber,questionType,difficulty,module,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,audioFileName,imageFileName
1-10,Complete Words,보통,Module 1,Supply and Demand,"Supply and demand are fundamental concepts in economics because they determine the price and availability of goods or services. When the[re] is mo[re] demand f[or] a pro[duct], suppliers m[ay] make i[t] more expe[nsive] to incr[ease] profits. Conve[rsely], an exc[ess] supply can lead to price reductions. Market equilibrium occurs when supply matches demand, resulting in stable prices. The real world, however, is rarely as simple as this. Various factors influence these dynamics, including consumer preferences, production costs, and external events.",,,,,Fill in the missing letters in the paragraph.,,,,,,,
11-20,Complete Words,보통,Module 1,Sanitation,"The introduction of sanitation practices in urban areas during the nineteenth century significantly improved public health. Innovations such as sew[age] systems a[nd] clean wa[ter] supplies deve[loped] from t[he] growing aware[ness] of the conne[ction] between po[or] hygiene and ill[ness], and reduced the spre[ad] of infectious diseases like cholera and typhoid. Public health campaigns, supported by local governments and medical professionals, educated communities on the importance of hygiene. These efforts were instrumental in decreasing mortality rates and enhancing quality of life.",,,,,Fill in the missing letters in the paragraph.,,,,,,,
21,Read in Daily Life,보통,Module 1,Read a webpage,"{""structure"":""form"",""color"":""teal"",""fields"":{""title"":""Williamsville College Gardening Club"",""body"":""We're a student club promoting sustainable gardening in collaboration with our neighbors in the town of Williamsville. Any skill level is welcome!\n\nUpcoming Event:\nPlant Sale • Farnese Pavilion • March 15, 2:00 p.m.\n\nLearn more about our club and future events on our website or email gardeningclub@williamsville.edu.""}}",,,,,What is indicated about the Williamsville College Gardening Club?,It prioritizes competitive gardening.,It focuses on vegetable gardening.,It practices eco-friendly gardening.,It teaches professional gardening.,It practices eco-friendly gardening.,,,
22,Read in Daily Life,보통,Module 1,Read a webpage,"{""structure"":""form"",""color"":""teal"",""fields"":{""title"":""Williamsville College Gardening Club"",""body"":""We're a student club promoting sustainable gardening in collaboration with our neighbors in the town of Williamsville. Any skill level is welcome!\n\nUpcoming Event:\nPlant Sale • Farnese Pavilion • March 15, 2:00 p.m.\n\nLearn more about our club and future events on our website or email gardeningclub@williamsville.edu.""}}",,,,,What can be concluded about the people who participate in Williamsville College Gardening Club activities?,They are primarily professors and administrators who work at Williamsville College.,They are a mixture of Williamsville College students and non-student residents of Williamsville.,They are a mixture of high school and college students from the area.,They are a group of local gardening professionals working in the area.,They are a mixture of Williamsville College students and non-student residents of Williamsville.,,,
23,Read in Daily Life,보통,Module 1,Read an advertisement,"{""structure"":""article"",""color"":""teal"",""fields"":{""headline"":""Winter Student Trek"",""body"":""Looking for the ultimate winter break escape? AlpineAdventures invites you to embark on an unforgettable journey through the Swiss Alps—the perfect mix of adventure, culture, and relaxation for your vacation. Our seven-day Winter Student Trek is designed for both first-time explorers and seasoned adventurers eager to experience Switzerland's breathtaking winter landscapes.\n\nHighlights:\n• Snow-dusted valleys with alpine air that refreshes body and mind\n• Thrilling mountain trails with views of legendary peaks\n• Cozy alpine lodges, complete with hearty Swiss meals and warm hospitality\n• Incredible wildlife, from elusive ibexes to soaring eagles\n• Meticulously curated daily challenges await you: Each day brings excitement and discovery.\n\nAll-inclusive:\n• Multilingual expert Alpine guides\n• Delicious meals with Swiss specialties\n• Comfortable accommodations with stunning vistas\n• Round-trip transportation to the trailhead\n\nTo foster team building, units include no more than six students. Space is very limited, so grab your spot! Email booking@alpineadventures.ch to reserve your winter break adventure today.""}}",,,,,What is indicated about the seven-day Winter Student Trek?,It provides exclusive access to private ski slopes.,It will be led by professionals with local expertise.,It includes complimentary ski and snowboard rentals.,It offers cooking classes led by professional chefs.,It will be led by professionals with local expertise.,,,
24,Read in Daily Life,보통,Module 1,Read an advertisement,"{""structure"":""article"",""color"":""teal"",""fields"":{""headline"":""Winter Student Trek"",""body"":""Looking for the ultimate winter break escape? AlpineAdventures invites you to embark on an unforgettable journey through the Swiss Alps—the perfect mix of adventure, culture, and relaxation for your vacation. Our seven-day Winter Student Trek is designed for both first-time explorers and seasoned adventurers eager to experience Switzerland's breathtaking winter landscapes.\n\nHighlights:\n• Snow-dusted valleys with alpine air that refreshes body and mind\n• Thrilling mountain trails with views of legendary peaks\n• Cozy alpine lodges, complete with hearty Swiss meals and warm hospitality\n• Incredible wildlife, from elusive ibexes to soaring eagles\n• Meticulously curated daily challenges await you: Each day brings excitement and discovery.\n\nAll-inclusive:\n• Multilingual expert Alpine guides\n• Delicious meals with Swiss specialties\n• Comfortable accommodations with stunning vistas\n• Round-trip transportation to the trailhead\n\nTo foster team building, units include no more than six students. Space is very limited, so grab your spot! Email booking@alpineadventures.ch to reserve your winter break adventure today.""}}",,,,,Students should probably avoid participating in the seven-day Winter Student Trek if they,prefer large groups when joining activities,like to observe wildlife in its natural habitat,enjoy discovering new cultures and places,appreciate customized guidance from experts,prefer large groups when joining activities,,,
25,Read in Daily Life,보통,Module 1,Read an advertisement,"{""structure"":""article"",""color"":""teal"",""fields"":{""headline"":""Winter Student Trek"",""body"":""Looking for the ultimate winter break escape? AlpineAdventures invites you to embark on an unforgettable journey through the Swiss Alps—the perfect mix of adventure, culture, and relaxation for your vacation. Our seven-day Winter Student Trek is designed for both first-time explorers and seasoned adventurers eager to experience Switzerland's breathtaking winter landscapes.\n\nHighlights:\n• Snow-dusted valleys with alpine air that refreshes body and mind\n• Thrilling mountain trails with views of legendary peaks\n• Cozy alpine lodges, complete with hearty Swiss meals and warm hospitality\n• Incredible wildlife, from elusive ibexes to soaring eagles\n• Meticulously curated daily challenges await you: Each day brings excitement and discovery.\n\nAll-inclusive:\n• Multilingual expert Alpine guides\n• Delicious meals with Swiss specialties\n• Comfortable accommodations with stunning vistas\n• Round-trip transportation to the trailhead\n\nTo foster team building, units include no more than six students. Space is very limited, so grab your spot! Email booking@alpineadventures.ch to reserve your winter break adventure today.""}}",,,,,"Given the description of the seven-day Winter Student Trek, which of the following is true of Alpine Adventures?",It emphasizes a balance between physical challenge and cultural immersion.,It prioritizes solitary travel experiences over group tour activities.,It primarily targets professional mountaineers seeking challenging climbs.,It offers a range of budget-friendly options for student travelers.,It emphasizes a balance between physical challenge and cultural immersion.,,,
26,Read an Academic Passage,보통,Module 1,Data Visualization in Action,"Data visualization is transforming how we interpret complex datasets, moving beyond traditional charts, such as static charts and graphs, to dynamic graphical representations, such as heat maps, time-lapse animations, and network graphs. This shift allows for the discovery of patterns and anomalies otherwise hidden in raw data. For example, when studying climate change impacts, a time-lapse heat map might reveal unexpected temperature shifts over decades that spreadsheets alone could not capture.

A significant development in this field is the use of interactive dashboards. These tools not only display data but also allow users to manipulate variables to explore different scenarios. In the business sector, decision-makers use dashboards to simulate market conditions, adjusting factors like demand and supply to forecast outcomes. However, the effectiveness of these dashboards often hinges on the user's ability to interpret complex visual cues, which can be overwhelming.

In the realm of public health, data visualization has proven invaluable in tracking disease spread. The combination of geographical maps and timelines helps analysts predict outbreak hot spots. Nonetheless, this predictive power depends heavily on the quality of data inputs. Still, data visualization tools help public health officials to act before a situation becomes unmanageable.",,,,,"The word ""anomalies"" in the passage is closest in meaning to",irregularities,indications,solutions,links,irregularities,,,
27,Read an Academic Passage,보통,Module 1,Data Visualization in Action,"Data visualization is transforming how we interpret complex datasets, moving beyond traditional charts, such as static charts and graphs, to dynamic graphical representations, such as heat maps, time-lapse animations, and network graphs. This shift allows for the discovery of patterns and anomalies otherwise hidden in raw data. For example, when studying climate change impacts, a time-lapse heat map might reveal unexpected temperature shifts over decades that spreadsheets alone could not capture.

A significant development in this field is the use of interactive dashboards. These tools not only display data but also allow users to manipulate variables to explore different scenarios. In the business sector, decision-makers use dashboards to simulate market conditions, adjusting factors like demand and supply to forecast outcomes. However, the effectiveness of these dashboards often hinges on the user's ability to interpret complex visual cues, which can be overwhelming.

In the realm of public health, data visualization has proven invaluable in tracking disease spread. The combination of geographical maps and timelines helps analysts predict outbreak hot spots. Nonetheless, this predictive power depends heavily on the quality of data inputs. Still, data visualization tools help public health officials to act before a situation becomes unmanageable.",,,,,What does the passage suggest about traditional data charts?,They reveal some important features hidden in raw data.,They are limited in how effectively they convey complex information.,They are especially helpful in capturing data related to climate change.,"They include heat maps, time-lapse animations, and network graphs.",They are limited in how effectively they convey complex information.,,,
28,Read an Academic Passage,보통,Module 1,Data Visualization in Action,"Data visualization is transforming how we interpret complex datasets, moving beyond traditional charts, such as static charts and graphs, to dynamic graphical representations, such as heat maps, time-lapse animations, and network graphs. This shift allows for the discovery of patterns and anomalies otherwise hidden in raw data. For example, when studying climate change impacts, a time-lapse heat map might reveal unexpected temperature shifts over decades that spreadsheets alone could not capture.

A significant development in this field is the use of interactive dashboards. These tools not only display data but also allow users to manipulate variables to explore different scenarios. In the business sector, decision-makers use dashboards to simulate market conditions, adjusting factors like demand and supply to forecast outcomes. However, the effectiveness of these dashboards often hinges on the user's ability to interpret complex visual cues, which can be overwhelming.

In the realm of public health, data visualization has proven invaluable in tracking disease spread. The combination of geographical maps and timelines helps analysts predict outbreak hot spots. Nonetheless, this predictive power depends heavily on the quality of data inputs. Still, data visualization tools help public health officials to act before a situation becomes unmanageable.",,,,,Identify the sentence in paragraph 2 that highlights a limitation of interactive dashboards. Select the sentence to make your choice.,A significant development in this field is the use of interactive dashboards.,These tools not only display data but also allow users to manipulate variables to explore different scenarios.,"However, the effectiveness of these dashboards often hinges on the user's ability to interpret complex visual cues, which can be overwhelming.","In the business sector, decision-makers use dashboards to simulate market conditions, adjusting factors like demand and supply to forecast outcomes.","However, the effectiveness of these dashboards often hinges on the user's ability to interpret complex visual cues, which can be overwhelming.",,,
