questionNumber,questionType,difficulty,level,day,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,context
33,Listen and Response,보통,1,02,,,,,,,Choose the best response.,Possibly over the weekend.,"Yes, I've been working on a research project.",I think it's in the science building.,The professor emailed us the schedule.,The professor emailed us the schedule.,,
34,Listen and Response,보통,1,02,,,,,,,Choose the best response.,"Yes, in five minutes.",I'm not sure.,The meeting starts soon.,The room is big.,I'm not sure.,,
35,Listen and Response,보통,1,02,,,,,,,Choose the best response.,"Yes, the shop closes early on Fridays.",I'll mark my calendar.,I had to work over the weekend.,"Sure, the weather is nice today.",I'll mark my calendar.,,
36,Short Conversation,보통,1,02,Listen to a conversation.,,,,,,What does the man imply about his travel plans?,He wants to minimize the cost.,He will spend one week in Chicago.,He has already purchased tickets.,He prefers to travel by train.,He prefers to travel by train.,,
37,Short Conversation,보통,1,02,Listen to a conversation.,,,,,,What feeling does the man express at the end of the conversation?,He is confident that he will be ready to start the new semester.,He is hopeful that he can take all the classes he wants.,He is worried about returning to campus so late.,He is concerned that he might miss his train.,He is confident that he will be ready to start the new semester.,,
38,Short Conversation,보통,1,02,Listen to a conversation.,,,,,,What type of music does the woman currently listen to?,Rock,Jazz,Pop,Opera,Pop,,
39,Short Conversation,보통,1,02,Listen to a conversation.,,,,,,Why does the man mention what he did last night?,To explain how he became interested in a punk rock band,To recommend a singer to the woman,To point out a café where music is often played,To emphasize that he likes relaxing music,To recommend a singer to the woman,,
40,Academic Talk,보통,1,02,Listen to a talk on a psychology podcast.,,,,,,What was the main purpose of Solomon Asch's experiment?,To measure memory skills of university students,To study the effect of social pressure on behavior,To compare visual judgments across cultures,To determine study habits of university students,To study the effect of social pressure on behavior,,
41,Academic Talk,보통,1,02,Listen to a talk on a psychology podcast.,,,,,,What were the participants in Asch's study asked to do?,Compare the lengths of different lines,Draw lines on a card,Work with a group to solve a problem,Match words from two different lists,Compare the lengths of different lines,,
42,Academic Talk,보통,1,02,Listen to a talk on a psychology podcast.,,,,,,What was Asch's main finding about the majority of participants in his study?,They could not solve complex problems without help from others.,They thought for a long time before answering a simple question.,They used a variety of different strategies to solve a problem.,They gave incorrect answers to match the answers of others at least once.,They gave incorrect answers to match the answers of others at least once.,,
43,Academic Talk,보통,1,02,Listen to a talk on a psychology podcast.,,,,,,What difference between the Asch study and the study conducted in 1980 does the speaker discuss?,The number of participants in each group,The number of times participants answered questions,The cultural background of the participants,The difficulty of the questions being answered,The cultural background of the participants,,
44,Academic Talk,보통,1,02,Listen to a talk in an environmental science class.,,,,,,What is the main focus of the talk?,How parks benefit city residents,Ways to overcome the difficulties of creating urban green spaces,The problems caused by pollution in cities,The history of using green spaces in urban planning,Ways to overcome the difficulties of creating urban green spaces,,
45,Academic Talk,보통,1,02,Listen to a talk in an environmental science class.,,,,,,Why does the speaker mention parking lots?,To help explain why land is expensive in cities,To encourage parking solutions that save space,To provide an example of an area that can be repurposed,To support reducing the number of cars in cities,To provide an example of an area that can be repurposed,,
46,Academic Talk,보통,1,02,Listen to a talk in an environmental science class.,,,,,,"According to the talk, how are green roofs and vertical gardens similar?",They provide recreational areas for city residents.,They do not need additional land to be built.,They divert rainwater for later use.,They are both inexpensive to create and maintain.,They do not need additional land to be built.,,
47,Academic Talk,보통,1,02,Listen to a talk in an environmental science class.,,,,,,What opinion does the speaker express about green space quotas?,They are not effective because they are hard to enforce.,They are necessary to ensure development of green space is not neglected.,They are important because they attract new residents to cities.,They are not practical because they raise the cost of new development.,They are necessary to ensure development of green space is not neglected.,,
