questionNumber,questionType,difficulty,module,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,audioFileName,imageFileName,emailScenario,emailInstruction,emailBullet1,emailBullet2,emailBullet3,emailBullet4,emailTo,emailSubject,context,vocabularyNote
1-10,Complete Words,보통,Module 1,Modern Biochemistry,"Rooted in both biology and chemistry, modern biochemistry has grown into a foundational science that explores the molecular basis of life. I[t] emerged fr[om] early investi[gations] into nat[ural] processes li[ke] fermentation a[nd] digestion a[nd] now encompasses t[he] study o[f] biomolecules su[ch] as proteins, carbohydrates, and nucleic acids. Biochemistry plays a vital role in diverse fields including agriculture, environmental science, and pharmacology, contributing to innovations in medicine, crop improvement, pollution control, and drug design.",,,,,Fill in the missing letters in the paragraph.,,,,,,,,,,,,,,,,,,
11-20,Complete Words,보통,Module 1,Ancient Rome,"The society of ancient Rome was a complex hierarchy, featuring a distinct class system. At the top were the patricians, the el[ite] aristocratic fami[lies] who he[ld] the majo[rity] of t[he] political po[wer]. Most o[f] the popul[ation] had lim[ited] privileges, infl[uence] and rights. They were called plebeians. Despite their larger numbers, plebeians were largely excluded from formal political decision-making in the early Republic. Over time, however, they fought for and gradually secured more privileges, such as the ability to hold public office.",,,,,Fill in the missing letters in the paragraph.,,,,,,,,,,,,,,,,,,
21,Read in Daily Life,보통,Module 1,University Library Book Drop-Off,"{""structure"": ""notice"", ""color"": ""teal"", ""fields"": {""title"": ""University Library Book Drop-Off"", ""subtitle"": """", ""body"": ""Most books may be returned at any time to the outdoor drop boxes located outside the entrance of any university library building.\n\n• Oversized items (e.g., atlases) must be returned to the relevant library circulation desk.\n• Check your online account to see if you have accrued any late fees.""}}",,,,,What can be inferred about the university?,It has indoor drop boxes in dormitories.,It has more than one library building.,It offers a degree in library science.,It charges a book-rental fee each semester.,It has more than one library building.,,,,,,,,,,,,,
22,Read in Daily Life,보통,Module 1,University Library Book Drop-Off,"{""structure"": ""notice"", ""color"": ""teal"", ""fields"": {""title"": ""University Library Book Drop-Off"", ""subtitle"": """", ""body"": ""Most books may be returned at any time to the outdoor drop boxes located outside the entrance of any university library building.\n\n• Oversized items (e.g., atlases) must be returned to the relevant library circulation desk.\n• Check your online account to see if you have accrued any late fees.""}}",,,,,What is indicated about the university's drop-box system?,It is only available for use during library hours.,It is not recommended for overdue books.,It cannot be used for certain types of books.,It is intended only for students living on campus.,It cannot be used for certain types of books.,,,,,,,,,,,,,
23,Read in Daily Life,보통,Module 1,Dorm Printer Setup Instructions,"{""structure"": ""notice"", ""color"": ""slate"", ""fields"": {""title"": ""Dorm Printer Setup Instructions"", ""subtitle"": """", ""body"": ""Step 1: Remove the printer from the packaging.\nStep 2: Connect the power cable to the printer and plug it into the wall socket.\nStep 3: Open the front of the printer by pressing the labeled button.\nStep 4: Install the ink cartridges.\nStep 5: Turn on the printer and follow the on-screen steps to complete the process.""}}",,,,,What is the main purpose of the instructions?,To explain how to replace an ink cartridge.,To explain how to prepare a new printer for use.,To explain how to repair a printer.,To explain how to connect a printer to a power source.,To explain how to prepare a new printer for use.,,,,,,,,,,,,,
24,Read in Daily Life,보통,Module 1,Dorm Printer Setup Instructions,"{""structure"": ""notice"", ""color"": ""slate"", ""fields"": {""title"": ""Dorm Printer Setup Instructions"", ""subtitle"": """", ""body"": ""Step 1: Remove the printer from the packaging.\nStep 2: Connect the power cable to the printer and plug it into the wall socket.\nStep 3: Open the front of the printer by pressing the labeled button.\nStep 4: Install the ink cartridges.\nStep 5: Turn on the printer and follow the on-screen steps to complete the process.""}}",,,,,What is the next step after turning on the printer?,Print a test page to ensure it is working properly.,Add paper and begin using the printer.,Follow more instructions on the printer screen.,Install the ink cartridges as shown.,Follow more instructions on the printer screen.,,,,,,,,,,,,,
25,Read in Daily Life,보통,Module 1,Elena and Eli — Mini Fridge Messages,"{""structure"": ""text_message"", ""color"": ""teal"", ""fields"": {""title"": ""Messages"", ""messages"": ""Elena Rowe (4:44 p.m.): Hey Eli, I'm having a problem with my mini fridge. I hear the motor humming, but it's not cooling off. David from our history class tells me you're good at fixing things like this. Could you come by and have a look?\nEli Molina (4:45 p.m.): Hey Elena, I'd be happy to take a look. Right now, I'm at the library with my math study group. We just got here.\nElena Rowe (4:46 p.m.): Oh, I didn't know. Any time is good.\nEli Molina (4:47 p.m.): How about tomorrow at 12:30?\nElena Rowe (4:48 p.m.): My economics class starts at noon. Does 1:30 work?\nEli Molina (4:50 p.m.): That works fine. Chances are it's a broken condenser coil. I've got an extra one, so I'll bring it with me.\nElena Rowe (4:51 p.m.): Thank you so much!""}}",,,,,What can be concluded about Eli?,He works at an appliance repair shop.,He has repaired refrigerators in the past.,He is studying to be a mechanical engineer.,He meets with his math study group every week.,He has repaired refrigerators in the past.,,,,,,,,,,,,,
26,Read in Daily Life,보통,Module 1,Elena and Eli — Mini Fridge Messages,"{""structure"": ""text_message"", ""color"": ""teal"", ""fields"": {""title"": ""Messages"", ""messages"": ""Elena Rowe (4:44 p.m.): Hey Eli, I'm having a problem with my mini fridge. I hear the motor humming, but it's not cooling off. David from our history class tells me you're good at fixing things like this. Could you come by and have a look?\nEli Molina (4:45 p.m.): Hey Elena, I'd be happy to take a look. Right now, I'm at the library with my math study group. We just got here.\nElena Rowe (4:46 p.m.): Oh, I didn't know. Any time is good.\nEli Molina (4:47 p.m.): How about tomorrow at 12:30?\nElena Rowe (4:48 p.m.): My economics class starts at noon. Does 1:30 work?\nEli Molina (4:50 p.m.): That works fine. Chances are it's a broken condenser coil. I've got an extra one, so I'll bring it with me.\nElena Rowe (4:51 p.m.): Thank you so much!""}}",,,,,"At 4:48 p.m., what does Elena imply when she writes, ""My economics class starts at noon""?",She has to arrive early to her economics class.,Eli can work on the problem while she is in class.,She cannot meet Eli at the time he has suggested.,Her economics professor has changed the class start time.,She cannot meet Eli at the time he has suggested.,,,,,,,,,,,,,
27,Read in Daily Life,보통,Module 1,Elena and Eli — Mini Fridge Messages,"{""structure"": ""text_message"", ""color"": ""teal"", ""fields"": {""title"": ""Messages"", ""messages"": ""Elena Rowe (4:44 p.m.): Hey Eli, I'm having a problem with my mini fridge. I hear the motor humming, but it's not cooling off. David from our history class tells me you're good at fixing things like this. Could you come by and have a look?\nEli Molina (4:45 p.m.): Hey Elena, I'd be happy to take a look. Right now, I'm at the library with my math study group. We just got here.\nElena Rowe (4:46 p.m.): Oh, I didn't know. Any time is good.\nEli Molina (4:47 p.m.): How about tomorrow at 12:30?\nElena Rowe (4:48 p.m.): My economics class starts at noon. Does 1:30 work?\nEli Molina (4:50 p.m.): That works fine. Chances are it's a broken condenser coil. I've got an extra one, so I'll bring it with me.\nElena Rowe (4:51 p.m.): Thank you so much!""}}",,,,,What does Eli suggest about Elena's refrigerator?,It needs a new part.,It cannot be repaired.,It is a low-quality model.,It must be brought to a shop.,It needs a new part.,,,,,,,,,,,,,
28,Read in Daily Life,보통,Module 1,Campus Green Initiative — Workshop Post,"{""structure"": ""social_media"", ""color"": ""teal"", ""fields"": {""platform"": ""Campus Green Initiative"", ""username"": ""@CampusGreen"", ""timestamp"": ""Posted this week"", ""content"": ""A Unique Opportunity for Student Gardeners!\nWe are excited to announce our upcoming Campus Green-Gardening Workshop, designed for students passionate about sustainability and hands-on learning.\n\nLocation: Student Union Courtyard\nDate: This Saturday, April 13\nTime: 10:00 A.M.-3:00 P.M.\n\nWorkshop highlights:\n- Presentation by Dr. Elena Tan, eco-friendly gardening expert\n- Vertical-gardening techniques for dorm rooms and small spaces\n- Create your own sustainable mini herb garden\n- Connect with students who love green living\n\nLimited spots available. Preregister now:\nwww.drexmorecollege.edu/cggw/register"", ""likes"": ""128"", ""comments"": ""24"", ""shares"": ""12""}}",,,,,The post mentions that the gardening workshop will,provide free seedlings.,take place on a weekend.,feature multiple speakers.,require registration by phone.,take place on a weekend.,,,,,,,,,,,,,
29,Read in Daily Life,보통,Module 1,Campus Green Initiative — Workshop Post,"{""structure"": ""social_media"", ""color"": ""teal"", ""fields"": {""platform"": ""Campus Green Initiative"", ""username"": ""@CampusGreen"", ""timestamp"": ""Posted this week"", ""content"": ""A Unique Opportunity for Student Gardeners!\nWe are excited to announce our upcoming Campus Green-Gardening Workshop, designed for students passionate about sustainability and hands-on learning.\n\nLocation: Student Union Courtyard\nDate: This Saturday, April 13\nTime: 10:00 A.M.-3:00 P.M.\n\nWorkshop highlights:\n- Presentation by Dr. Elena Tan, eco-friendly gardening expert\n- Vertical-gardening techniques for dorm rooms and small spaces\n- Create your own sustainable mini herb garden\n- Connect with students who love green living\n\nLimited spots available. Preregister now:\nwww.drexmorecollege.edu/cggw/register"", ""likes"": ""128"", ""comments"": ""24"", ""shares"": ""12""}}",,,,,What is implied about Dr. Elena Tan's role in the workshop?,She will help participants design a public garden.,She will choose the location for a new community garden.,She will provide expert advice on sustainable gardening.,She will be a judge for a campuswide gardening competition.,She will provide expert advice on sustainable gardening.,,,,,,,,,,,,,
30,Read in Daily Life,보통,Module 1,Campus Green Initiative — Workshop Post,"{""structure"": ""social_media"", ""color"": ""teal"", ""fields"": {""platform"": ""Campus Green Initiative"", ""username"": ""@CampusGreen"", ""timestamp"": ""Posted this week"", ""content"": ""A Unique Opportunity for Student Gardeners!\nWe are excited to announce our upcoming Campus Green-Gardening Workshop, designed for students passionate about sustainability and hands-on learning.\n\nLocation: Student Union Courtyard\nDate: This Saturday, April 13\nTime: 10:00 A.M.-3:00 P.M.\n\nWorkshop highlights:\n- Presentation by Dr. Elena Tan, eco-friendly gardening expert\n- Vertical-gardening techniques for dorm rooms and small spaces\n- Create your own sustainable mini herb garden\n- Connect with students who love green living\n\nLimited spots available. Preregister now:\nwww.drexmorecollege.edu/cggw/register"", ""likes"": ""128"", ""comments"": ""24"", ""shares"": ""12""}}",,,,,It can be inferred that the workshop will highlight vertical-gardening techniques to,encourage students to grow plants outdoors.,show that this technique is easier than any other.,promote traditional gardening methods.,provide a space-saving solution for dorm rooms.,provide a space-saving solution for dorm rooms.,,,,,,,,,,,,,
31,Read an Academic Passage,보통,Module 1,Free Will and Determinism,"The debate over free will asks whether our decisions come from independent thought or are shaped by factors beyond our control. Although we may feel like we choose freely, influences such as genetics, upbringing, and unconscious habits suggest our freedom may be limited. The key question is whether these influences simply guide our choices or actually determine them. If they determine them, then our sense of control may be more of a story we tell ourselves after the fact than something that drives our actions.

Some philosophers maintain that even within a causally determined world, we can still act freely so long as our choices reflect our own reasoning and desires. Yet this view raises questions about whether those desires are truly ours or merely the result of prior conditions. Others push further, suggesting that even our capacity to reflect on our actions is shaped by forces beyond our control, leaving little room for genuine autonomy. These tensions are not just theoretical: they shape how we think about responsibility in law, education, and relationships. If the assumption that someone might have acted differently begins to unravel, then our notions of accountability may need to be reimagined.",,,,,Why does the author mention genetics and upbringing in paragraph 1?,To name the factors that contribute to the unconscious habits people form.,To list factors we may be unaware of that shape our decision-making.,To argue that some people have more freedom to act than others do.,To note two factors that contribute to the formation of people's personalities.,To list factors we may be unaware of that shape our decision-making.,,,,,,,,,,,,,
32,Read an Academic Passage,보통,Module 1,Free Will and Determinism,"The debate over free will asks whether our decisions come from independent thought or are shaped by factors beyond our control. Although we may feel like we choose freely, influences such as genetics, upbringing, and unconscious habits suggest our freedom may be limited. The key question is whether these influences simply guide our choices or actually determine them. If they determine them, then our sense of control may be more of a story we tell ourselves after the fact than something that drives our actions.

Some philosophers maintain that even within a causally determined world, we can still act freely so long as our choices reflect our own reasoning and desires. Yet this view raises questions about whether those desires are truly ours or merely the result of prior conditions. Others push further, suggesting that even our capacity to reflect on our actions is shaped by forces beyond our control, leaving little room for genuine autonomy. These tensions are not just theoretical: they shape how we think about responsibility in law, education, and relationships. If the assumption that someone might have acted differently begins to unravel, then our notions of accountability may need to be reimagined.",,,,,"What does the author suggest may be true of ""our sense of control"" over our choices?",It can drive our actions if we train ourselves to think independently.,It helps us develop narratives that shape our choices.,It is the product of unconscious habits.,It is nothing more than an illusion.,It is nothing more than an illusion.,,,,,,,,,,,,,
33,Read an Academic Passage,보통,Module 1,Free Will and Determinism,"The debate over free will asks whether our decisions come from independent thought or are shaped by factors beyond our control. Although we may feel like we choose freely, influences such as genetics, upbringing, and unconscious habits suggest our freedom may be limited. The key question is whether these influences simply guide our choices or actually determine them. If they determine them, then our sense of control may be more of a story we tell ourselves after the fact than something that drives our actions.

Some philosophers maintain that even within a causally determined world, we can still act freely so long as our choices reflect our own reasoning and desires. Yet this view raises questions about whether those desires are truly ours or merely the result of prior conditions. Others push further, suggesting that even our capacity to reflect on our actions is shaped by forces beyond our control, leaving little room for genuine autonomy. These tensions are not just theoretical: they shape how we think about responsibility in law, education, and relationships. If the assumption that someone might have acted differently begins to unravel, then our notions of accountability may need to be reimagined.",,,,,"In the second paragraph, what is the relationship between sentence 1 and sentence 2?","Sentence 1 presents an argument, and sentence 2 restates it in simpler terms.","Sentence 1 makes a claim, and sentence 2 supports it with evidence.","Sentence 1 presents an idea, and sentence 2 challenges an assumption behind the idea.","Sentence 1 introduces a viewpoint, and sentence 2 considers its implications.","Sentence 1 presents an idea, and sentence 2 challenges an assumption behind the idea.",,,,,,,,,,,,,
34,Read an Academic Passage,보통,Module 1,Free Will and Determinism,"The debate over free will asks whether our decisions come from independent thought or are shaped by factors beyond our control. Although we may feel like we choose freely, influences such as genetics, upbringing, and unconscious habits suggest our freedom may be limited. The key question is whether these influences simply guide our choices or actually determine them. If they determine them, then our sense of control may be more of a story we tell ourselves after the fact than something that drives our actions.

Some philosophers maintain that even within a causally determined world, we can still act freely so long as our choices reflect our own reasoning and desires. Yet this view raises questions about whether those desires are truly ours or merely the result of prior conditions. Others push further, suggesting that even our capacity to reflect on our actions is shaped by forces beyond our control, leaving little room for genuine autonomy. These tensions are not just theoretical: they shape how we think about responsibility in law, education, and relationships. If the assumption that someone might have acted differently begins to unravel, then our notions of accountability may need to be reimagined.",,,,,"The word ""unravel"" in the passage is closest in meaning to",fall apart.,gather strength.,form.,evolve.,fall apart.,,,,,,,,,,,,,
