questionNumber,questionType,difficulty,module,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,vocabularyNote,audioFileName,imageFileName
1-10,Complete Words,보통,Module 1,Mass Extinctions,"Mass extinctions have periodically reshaped the diversity of life on Earth, representing significant biological and ecological shifts. The most famous event, the Cretaceous-Paleogene extinction, occurred approximately 66 million years ago and led to the demise of the dinosaurs. Large-scale los[ses] of spe[cies] are of[ten] caused b[y] catastrophic eve[nts] such a[s] volcanic erup[tions], asteroid imp[acts], and cli[mate] change. T[he] resulting damage to biodiversity disrupts ecosystems and alters evolutionary trajectories. Studying past extinctions provides insights into the resilience and adaptability of life, helping scientists predict and mitigate future biodiversity loss.",,,,,Fill in the missing letters in the paragraph.,,,,,,,"extinction=멸종
species=종
catastrophic=재앙적인
eruption=폭발, 분출
resilience=회복력
biodiversity=생물다양성
mitigate=완화하다
trajectory=궤적",,
11-20,Complete Words,보통,Module 1,Academic Success Skills,"What are some foundational skills for academic success? Critical think[ing] allows stud[ents] to appro[ach] problems systema[tically], analyze infor[mation], and ma[ke] connections bet[ween] ideas. Al[so] important a[re] soft skills li[ke] time management and social skills. Time management is helpful for balancing studies, extracurricular activities, and personal life in an efficient manner. Social skills are good predictors of academic success because those who communicate effectively can form positive relationships with their peers and professors.",,,,,Fill in the missing letters in the paragraph.,,,,,,,"foundational=기초적인
critical thinking=비판적 사고
systematically=체계적으로
extracurricular=과외의, 교과외의
predictor=예측 변수
communicate=소통하다",,
21,Read in Daily Life,보통,Module 1,GoodBooks Shipment,"{""structure"":""email_simple"",""color"":""orange"",""fields"":{""subject"":""GoodBooks shipment"",""body"":""Dear Mr. Brown,\n\nGoodBooks has shipped your order, which will arrive on December 10. As a loyal customer, you will receive a free book with your order. On the basis of your purchasing history, we decided your complimentary book should be nonfiction.\n\nRegards,\nOlivia Harris""}}",,,,,What will Mr. Brown receive for free?,A bookmark,A newsletter,A book,A catalog,A book,,"shipment=배송
loyal=충성스러운
complimentary=무료의
nonfiction=논픽션
purchasing history=구매 이력",,
22,Read in Daily Life,보통,Module 1,GoodBooks Shipment,"{""structure"":""email_simple"",""color"":""orange"",""fields"":{""subject"":""GoodBooks shipment"",""body"":""Dear Mr. Brown,\n\nGoodBooks has shipped your order, which will arrive on December 10. As a loyal customer, you will receive a free book with your order. On the basis of your purchasing history, we decided your complimentary book should be nonfiction.\n\nRegards,\nOlivia Harris""}}",,,,,On what basis did GoodBooks make a decision?,A purchasing history,A limited budget,A reduced inventory,A completed survey,A purchasing history,,"shipment=배송
loyal=충성스러운
complimentary=무료의
nonfiction=논픽션
purchasing history=구매 이력",,
23,Read in Daily Life,보통,Module 1,The Review of Whispering Woods,"{""structure"":""review"",""color"":""teal"",""fields"":{""title"":""The Review of Whispering Woods"",""body"":""This week's University Cineclub offering, Whispering Woods by award-winning filmmaker Amara Patel, features Tomas Ruiz as Dr. Daniel Salazar, a botanist who endures an unexpected reunion while doing fieldwork in a remote forest.\n\nPraised by critics, this film offers a compelling exploration of fantasy that challenges viewers' perceptions.""}}",,,,,What is suggested about the protagonist's experience in the film?,He wins an award for scientific research.,He stumbles upon a mystery affecting a forest's ecology.,He struggles to find his way out of a forest.,He encounters someone from his past.,He encounters someone from his past.,,"award-winning=수상 경력의
botanist=식물학자
endure=견디다
reunion=재회
fieldwork=현장 조사
perception=인식
compelling=매력적인",,
24,Read in Daily Life,보통,Module 1,The Review of Whispering Woods,"{""structure"":""review"",""color"":""teal"",""fields"":{""title"":""The Review of Whispering Woods"",""body"":""This week's University Cineclub offering, Whispering Woods by award-winning filmmaker Amara Patel, features Tomas Ruiz as Dr. Daniel Salazar, a botanist who endures an unexpected reunion while doing fieldwork in a remote forest.\n\nPraised by critics, this film offers a compelling exploration of fantasy that challenges viewers' perceptions.""}}",,,,,Who is Tomas Ruiz?,A film director,A film actor,A character in a film,A film critic,A film actor,,"award-winning=수상 경력의
botanist=식물학자
endure=견디다
reunion=재회
fieldwork=현장 조사
perception=인식
compelling=매력적인",,
25,Read in Daily Life,보통,Module 1,Lunch Plans,"{""structure"":""text_message"",""color"":""teal"",""fields"":{""messages"":""Emma (12:45 P.M.): Where should we grab lunch? Class ran late and I'm starving.\nLiam (12:47 P.M.): Let's go to the cafe near the science building. The last time I was there, they had great wraps.\nEmma (12:49 P.M.): Sounds good! Do they have vegetarian options?\nLiam (12:51 P.M.): If their menu hasn't changed, you'll be fine.\nEmma (12:53 P.M.): Perfect. I'll just finish my lab report and then head out. It won't take long.\nLiam (12:55 P.M.): Great! I'll bring my reusable cup for coffee.\nEmma (12:57 P.M.): Awesome. I'll text Mia to see if she wants to join.\nLiam (12:59 P.M.): Cool, I'll pack my bag and leave soon.""}}",,,,,"At 12:51 P.M., what does Liam imply when he writes, ""If their menu hasn't changed, you'll be fine""?",Emma should not have any difficulty finding vegetarian options on the menu.,The cafe has not changed its menu.,Other cafes on campus have new menus.,The cafe probably has vegetarian options.,Emma should not have any difficulty finding vegetarian options on the menu.,,"grab lunch=점심 먹으러 가다
vegetarian=채식주의자
reusable=재사용 가능한
lab report=실험 보고서
head out=출발하다",,
26,Read in Daily Life,보통,Module 1,Lunch Plans,"{""structure"":""text_message"",""color"":""teal"",""fields"":{""messages"":""Emma (12:45 P.M.): Where should we grab lunch? Class ran late and I'm starving.\nLiam (12:47 P.M.): Let's go to the cafe near the science building. The last time I was there, they had great wraps.\nEmma (12:49 P.M.): Sounds good! Do they have vegetarian options?\nLiam (12:51 P.M.): If their menu hasn't changed, you'll be fine.\nEmma (12:53 P.M.): Perfect. I'll just finish my lab report and then head out. It won't take long.\nLiam (12:55 P.M.): Great! I'll bring my reusable cup for coffee.\nEmma (12:57 P.M.): Awesome. I'll text Mia to see if she wants to join.\nLiam (12:59 P.M.): Cool, I'll pack my bag and leave soon.""}}",,,,,What can be concluded about Emma's schedule for the rest of the afternoon?,She expects to finish classes later than Liam.,She plans to spend the afternoon in the library.,She will meet Liam at the science building.,She wants to complete a task before lunch.,She wants to complete a task before lunch.,,"grab lunch=점심 먹으러 가다
vegetarian=채식주의자
reusable=재사용 가능한
lab report=실험 보고서
head out=출발하다",,
27,Read in Daily Life,보통,Module 1,Lunch Plans,"{""structure"":""text_message"",""color"":""teal"",""fields"":{""messages"":""Emma (12:45 P.M.): Where should we grab lunch? Class ran late and I'm starving.\nLiam (12:47 P.M.): Let's go to the cafe near the science building. The last time I was there, they had great wraps.\nEmma (12:49 P.M.): Sounds good! Do they have vegetarian options?\nLiam (12:51 P.M.): If their menu hasn't changed, you'll be fine.\nEmma (12:53 P.M.): Perfect. I'll just finish my lab report and then head out. It won't take long.\nLiam (12:55 P.M.): Great! I'll bring my reusable cup for coffee.\nEmma (12:57 P.M.): Awesome. I'll text Mia to see if she wants to join.\nLiam (12:59 P.M.): Cool, I'll pack my bag and leave soon.""}}",,,,,What will Liam probably do next?,Go to his dorm to get something he forgot.,Brew a fresh cup of coffee.,Get ready to go to the cafe.,Wait to see if Mia can join before leaving.,Get ready to go to the cafe.,,"grab lunch=점심 먹으러 가다
vegetarian=채식주의자
reusable=재사용 가능한
lab report=실험 보고서
head out=출발하다",,
28,Read in Daily Life,보통,Module 1,Frankson Library Renovation and Temporary Relocation,"{""structure"":""notice"",""color"":""teal"",""fields"":{""title"":""Frankson Library Renovation and Temporary Relocation"",""subtitle"":""Attention University Community:"",""body"":""Beginning October 10, the Frankson Library will undergo a major renovation to enhance study spaces and technological resources. The project is scheduled to continue through March 15.\n\nDuring this period, the library's operational services will be temporarily relocated to the second and third floors of the Meyer Student Union Building. The temporary library spaces will operate weekdays from 8:00 A.M. to 10:00 P.M. and on weekends from 10:00 A.M. to 6:00 P.M.\n\nLibrary administrative offices will be temporarily relocated to the university's Main Building.\n\nExtra shuttle buses will run between the Main Quad and the Meyer Student Union Building to accommodate increased traffic. Students are encouraged to explore our expanded digital resources available through the university's online portal.\n\nWe appreciate your patience as we improve our facilities.\n\nFor updates, visit the library's webpage or contact library@university.edu.""}}",,,,,Where can students check out and return books during the renovation?,In the Frankson Library,In the Meyer Student Union Building,In the Main Building,On the Main Quad,In the Meyer Student Union Building,,"renovation=개조, 보수
temporary=임시의
relocate=이전하다
operational=운영상의
accommodate=수용하다
digital resources=디지털 자료
appreciate=감사하다",,
