questionNumber,questionType,difficulty,module,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,audioFileName,imageFileName
1,Listen and Response,보통,Module 1,,,How can I apply for the Study Abroad program?,,,,Choose the best response.,A,B,C,D,A,,,
2,Listen and Response,보통,Module 1,,,How can I improve my rowing skills?,,,,Choose the best response.,A,B,C,D,A,,,
3,Listen and Response,보통,Module 1,,,What time does the Registrar's Office open tomorrow?,,,,Choose the best response.,A,B,C,D,C,,,
4,Listen and Response,보통,Module 1,,,The library has a quiet study area.,,,,Choose the best response.,A,B,C,D,B,,,
5,Listen and Response,보통,Module 1,,,"If you're comfortable with the schedule, we can book the lab for tomorrow.",,,,Choose the best response.,A,B,C,D,D,,,
6,Listen and Response,보통,Module 1,,,Where is the nearest train station?,,,,Choose the best response.,A,B,C,D,C,,,
7,Listen and Response,보통,Module 1,,,When is the next class in advanced data analysis being offered?,,,,Choose the best response.,A,B,C,D,D,,,
8,Listen and Response,보통,Module 1,,,I don't think I'll be able to go hiking today.,,,,Choose the best response.,A,B,C,D,C,,,
9,Listen and Response,보통,Module 1,,,Who is doing the extra credit assignment?,,,,Choose the best response.,A,B,C,D,B,,,
10,Listen and Response,보통,Module 1,,,What should we do about the broken desk chair?,,,,Choose the best response.,A,B,C,D,D,,,
11,Listen and Response,보통,Module 1,,,Where did you buy your laptop?,,,,Choose the best response.,A,B,C,D,D,,,
12,Listen and Response,보통,Module 1,,,How can I access the local archives?,,,,Choose the best response.,A,B,C,D,D,,,
13,Short Conversation,보통,Module 1,Conversation: Running in the Park,,"Narrator: Listen to a conversation.
Man: How are your morning runs going?
Woman: Overall great, though it's hard to run on the trails at the local park I've been going to. I feel like I'm always getting stuck behind people or bumping into them.
Man: I see. Are you working toward a specific goal?
Woman: My main goal is just to be healthier. But if I'm making enough progress, I might sign up for the campus 5K race at the end of the semester.
Man: Have you done one before?
Woman: It'll be my first, so that's why I'm still undecided.
Man: I have faith in you.",,,,Listen to a conversation.,A,B,C,D,B,,,
