questionNumber,questionType,difficulty,module,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,audioFileName,imageFileName
1-10,Complete Words,쉬움,Module 1,Archaeological Research,"Archaeological research relies on material evidence to reconstruct past human activity. Pottery shards are among the most informative artif[acts] recovered at archaeological sites, offering insight into t[he] daily li[ves], trade netw[orks], and techno[logical] practices of ancient cult[ures]. Variations in vessel shape, decoration, and clay composition help research[ers] identify cultural affiliations and date settle[ments]. Chemical analysis can trace the geo[graphic] origin of ceramics, revealing patterns of ex[change] across regions.",,,,,Fill in the missing letters in the paragraph.,,,,,,,,
11-20,Complete Words,쉬움,Module 1,Geology,"Geology is the scientific study of our planet, including its composition, structure, and processes. Geolo[gists] analyze roc[ks], minerals, a[nd] the nat[ural] forc[es] th[at] change the outer la[yer] of Ea[rth] over ti[me]. This know[ledge] helps scientists understand the planet's history and predict future changes. It is essential for natural resource management, hazard mitigation, and environmental protection. Advances in geologic research, such as satellite-based remote sensing, deep-Earth imaging, and isotopic dating, have greatly improved our ability to monitor earthquakes, track volcanic activity, and assess groundwater resources.",,,,,Fill in the missing letters in the paragraph.,,,,,,,,
21,Read in Daily Life,보통,Module 1,Film Society,"{""structure"":""notice"",""color"":""teal"",""fields"":{""title"":""Attention!"",""body"":""This semester, the film society's offerings focus on film noir. Each Wednesday and Sunday night at 8, we will screen a notable exemplar of the genre, including films by Otto Preminger, Billy Wilder, and others. Following each screening, Film Department Professor Nina Brunn will lead a discussion with audience members.""}}",,,,,Which of the following can be inferred about the film society?,It is run by students majoring in film studies.,It primarily shows contemporary films.,Its offerings are sometimes organized by theme or genre.,Its screenings occur on consecutive evenings.,Its offerings are sometimes organized by theme or genre.,"공지는 이번 학기 상영작이 '필름 누아르'라는 장르로 통일되어 있다고 밝히므로, 상영작을 주제나 장르별로 구성할 때가 있음을 추론할 수 있습니다.",,
22,Read in Daily Life,보통,Module 1,Film Society,"{""structure"":""notice"",""color"":""teal"",""fields"":{""title"":""Attention!"",""body"":""This semester, the film society's offerings focus on film noir. Each Wednesday and Sunday night at 8, we will screen a notable exemplar of the genre, including films by Otto Preminger, Billy Wilder, and others. Following each screening, Film Department Professor Nina Brunn will lead a discussion with audience members.""}}",,,,,"The notice indicates that those attending the screenings",are expected to attend at least one screening per week.,must purchase a subscription to the film society's film series.,are primarily students studying filmmaking.,have opportunities to share their views of films with others.,have opportunities to share their views of films with others.,"상영 후 교수와 관객이 토론(discussion)을 진행한다고 했으므로, 관객이 자신의 견해를 나눌 기회가 있음을 알 수 있습니다.",,
23,Read in Daily Life,쉬움,Module 1,Global Beats,"{""structure"":""flyer"",""color"":""orange"",""fields"":{""title"":""Join us for a celebration of music, dance, and culture from across the globe!"",""body"":""Global Beats: International Culture Night brings student groups and campus performers together at Hartley Auditorium for live sets, pop-up dance lessons (salsa, bhangra, K-pop), a parade of flags, and a showcase of traditional dress.\n\nExplore cultural booths, sample global snacks, and drop into an interactive drumming circle. Feel free to wear clothing that represents your heritage and get ready to move!\n\nAll are welcome: students, staff, families, and neighbors. Doors open at 7:00 P.M. with a DJ warm-up; performances begin soon after. A sign-up list for community spotlight slots will be posted near the entrance.\n\nEntry is free, and there is limited front-row seating, so plan to arrive early to secure a spot near the heart of the action. Celebrate diversity, discover new rhythms, and leave with a few new steps in your repertoire. Let's make the campus dance!""}}",,,,,The flyer encourages attendees to wear,fashionable clothing.,costumes designed for the event.,clothing that celebrates their background.,clothing that celebrates their university affiliation.,clothing that celebrates their background.,'wear clothing that represents your heritage'에서 확인할 수 있습니다.,,
24,Read in Daily Life,보통,Module 1,Global Beats,"{""structure"":""flyer"",""color"":""orange"",""fields"":{""title"":""Join us for a celebration of music, dance, and culture from across the globe!"",""body"":""Global Beats: International Culture Night brings student groups and campus performers together at Hartley Auditorium for live sets, pop-up dance lessons (salsa, bhangra, K-pop), a parade of flags, and a showcase of traditional dress.\n\nExplore cultural booths, sample global snacks, and drop into an interactive drumming circle. Feel free to wear clothing that represents your heritage and get ready to move!\n\nAll are welcome: students, staff, families, and neighbors. Doors open at 7:00 P.M. with a DJ warm-up; performances begin soon after. A sign-up list for community spotlight slots will be posted near the entrance.\n\nEntry is free, and there is limited front-row seating, so plan to arrive early to secure a spot near the heart of the action. Celebrate diversity, discover new rhythms, and leave with a few new steps in your repertoire. Let's make the campus dance!""}}",,,,,Which of the following best describes the sequence of events immediately preceding the first performances?,"The parade of flags will take place, followed by the showcase of traditional dress.","The doors will open, after which a DJ will play music while people enter.","The event attendees will arrive, after which sign-up for community spotlight slots will take place.","The cultural booths will open, after which the drumming circle will take place.","The doors will open, after which a DJ will play music while people enter.",'Doors open at 7:00 P.M. with a DJ warm-up; performances begin soon after.'에서 확인할 수 있습니다.,,
25,Read in Daily Life,보통,Module 1,Global Beats,"{""structure"":""flyer"",""color"":""orange"",""fields"":{""title"":""Join us for a celebration of music, dance, and culture from across the globe!"",""body"":""Global Beats: International Culture Night brings student groups and campus performers together at Hartley Auditorium for live sets, pop-up dance lessons (salsa, bhangra, K-pop), a parade of flags, and a showcase of traditional dress.\n\nExplore cultural booths, sample global snacks, and drop into an interactive drumming circle. Feel free to wear clothing that represents your heritage and get ready to move!\n\nAll are welcome: students, staff, families, and neighbors. Doors open at 7:00 P.M. with a DJ warm-up; performances begin soon after. A sign-up list for community spotlight slots will be posted near the entrance.\n\nEntry is free, and there is limited front-row seating, so plan to arrive early to secure a spot near the heart of the action. Celebrate diversity, discover new rhythms, and leave with a few new steps in your repertoire. Let's make the campus dance!""}}",,,,,Why should attendees arrive early?,To get seating near the stage.,To secure community spotlight slots.,To purchase tickets.,To meet the performers.,To get seating near the stage.,"'limited front-row seating, so plan to arrive early to secure a spot near the heart of the action'에서 확인할 수 있습니다.",,
26,Read an Academic Passage,보통,Module 1,The Shifting Art of Playwriting,"Innovative playwriting techniques have transformed the theatrical landscape by challenging linear storytelling and passive spectatorship. Nonlinear narratives, seen in plays like Harold Pinter's Betrayal, disrupt chronological order to reflect the fragmented nature of memory and emotion. This structure invites audiences to actively reconstruct the story, deepening their engagement.

Another innovation is the so-called breaking of the fourth wall, where characters directly address the audience. Used by Bertolt Brecht in Mother Courage and Her Children, this technique encourages viewers to reflect critically rather than become absorbed in illusion. Fully interactive theater, exemplified by the British production Sleep No More, goes further by allowing viewers to physically move through the performance space, personalizing the experience and making each viewing unique.

These techniques suggest a broader hypothesis: that theatrical form is not merely a container for content but a vital part of creating meaning. By reshaping narrative structure and audience dynamics, playwrights can evoke new emotional and intellectual responses, revealing complex aspects of the human condition.

Of course, such innovations may confuse rather than enlighten more traditional-minded theater audiences and also disrupt their emotional immersion and fragment the narrative. Thus, while these techniques can serve as powerful tools, their success depends on how carefully they are integrated into the dramatic work.",,,,,What is the passage mainly about?,The influence of traditional theater on modern audiences.,The role of audience participation in theatrical performances.,New approaches to theatrical storytelling and audience involvement.,The challenges of interpreting nonlinear narratives in drama.,New approaches to theatrical storytelling and audience involvement.,지문 전체가 새로운 연출 기법과 관객 참여 방식을 다루고 있습니다.,,
27,Read an Academic Passage,어려움,Module 1,The Shifting Art of Playwriting,"Innovative playwriting techniques have transformed the theatrical landscape by challenging linear storytelling and passive spectatorship. Nonlinear narratives, seen in plays like Harold Pinter's Betrayal, disrupt chronological order to reflect the fragmented nature of memory and emotion. This structure invites audiences to actively reconstruct the story, deepening their engagement.

Another innovation is the so-called breaking of the fourth wall, where characters directly address the audience. Used by Bertolt Brecht in Mother Courage and Her Children, this technique encourages viewers to reflect critically rather than become absorbed in illusion. Fully interactive theater, exemplified by the British production Sleep No More, goes further by allowing viewers to physically move through the performance space, personalizing the experience and making each viewing unique.

These techniques suggest a broader hypothesis: that theatrical form is not merely a container for content but a vital part of creating meaning. By reshaping narrative structure and audience dynamics, playwrights can evoke new emotional and intellectual responses, revealing complex aspects of the human condition.

Of course, such innovations may confuse rather than enlighten more traditional-minded theater audiences and also disrupt their emotional immersion and fragment the narrative. Thus, while these techniques can serve as powerful tools, their success depends on how carefully they are integrated into the dramatic work.",,,,,"According to the passage, what is a key difference between Mother Courage and Her Children and Sleep No More?","Mother Courage and Her Children uses audience interaction to create emotional immersion, while Sleep No More avoids direct engagement.","Mother Courage and Her Children involves some interaction with the audience, while Sleep No More involves actual audience participation.","Mother Courage and Her Children presents a fragmented narrative, while Sleep No More follows a linear storyline.","Mother Courage and Her Children is based on historical events, while Sleep No More is entirely fictional.","Mother Courage and Her Children involves some interaction with the audience, while Sleep No More involves actual audience participation.","전자는 관객에게 '말을 거는' 정도이고, 후자는 관객이 '직접 이동하며 참여'하는 수준의 차이가 있습니다.",,
28,Read an Academic Passage,어려움,Module 1,The Shifting Art of Playwriting,"Innovative playwriting techniques have transformed the theatrical landscape by challenging linear storytelling and passive spectatorship. Nonlinear narratives, seen in plays like Harold Pinter's Betrayal, disrupt chronological order to reflect the fragmented nature of memory and emotion. This structure invites audiences to actively reconstruct the story, deepening their engagement.

Another innovation is the so-called breaking of the fourth wall, where characters directly address the audience. Used by Bertolt Brecht in Mother Courage and Her Children, this technique encourages viewers to reflect critically rather than become absorbed in illusion. Fully interactive theater, exemplified by the British production Sleep No More, goes further by allowing viewers to physically move through the performance space, personalizing the experience and making each viewing unique.

These techniques suggest a broader hypothesis: that theatrical form is not merely a container for content but a vital part of creating meaning. By reshaping narrative structure and audience dynamics, playwrights can evoke new emotional and intellectual responses, revealing complex aspects of the human condition.

Of course, such innovations may confuse rather than enlighten more traditional-minded theater audiences and also disrupt their emotional immersion and fragment the narrative. Thus, while these techniques can serve as powerful tools, their success depends on how carefully they are integrated into the dramatic work.",,,,,Which of the following best describes the function of paragraph 3 in the passage?,It offers a conjecture about what new playwriting techniques mean for theater.,It summarizes the historical development of experimental theater techniques.,It critiques the effectiveness of audience-centered performance styles.,It introduces a counterargument to the use of nonlinear narratives in drama.,It offers a conjecture about what new playwriting techniques mean for theater.,3단락은 '이러한 기법들이 시사하는 더 넓은 가설(broader hypothesis)'을 제시합니다.,,
