questionNumber,questionType,difficulty,level,day,passageTitle,passageText,scriptText,dictationBlanks,organization,organizationBlanks,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,context
1-10,Complete Words,보통,1,01,Agriculture,"Agriculture refers to the systematic cultivation of crops and the domestication of animals to produce food and other essential resources. This prac[tice] has sust[ained] human soci[eties] for mill[ennia]. Farmers empl[oy] various techn[iques] such a[s] plowing a[nd] irrigation t[o] manage la[nd] effectively. Additionally, livestock including cattle, poultry, and sheep are raised for products like milk, meat, and wool. Agriculture remains a cornerstone of global food security and plays a vital role in supporting economies and communities worldwide.",,,,,Fill in the missing letters in the paragraph.,,,,,,,
11-20,Complete Words,보통,1,01,Theater,"Theater has been an integral part of human culture for centuries, providing a medium for storytelling and artistic expression. Many feat[ures] of Anc[ient] Greek theater a[re] still fo[und] in mod[ern] theater, such a[s] wearing ma[sks] and us[ing] a chorus. Dur[ing] the Renaissance, theater flour[ished] as playwrights, like Shakespeare, created enduring works. Modern theater continues to evolve, incorporating technology and diverse narratives. The communal experience of live performance remains a powerful way to explore human emotions and societal issues.",,,,,Fill in the missing letters in the paragraph.,,,,,,,
21,Read in Daily Life,보통,1,01,Annual Awards Ceremony,"{""structure"":""notice"",""color"":""teal"",""fields"":{""title"":""Annual Awards Ceremony"",""subtitle"":"""",""body"":""Friday, 20 December, at 3:00 P.M. in Stadler Gymnasium.\nJoin us to celebrate outstanding student-athlete achievements for this academic year. Awardees will receive gift certificates. Reception follows immediately in the lobby.\nRSVP by Wednesday, December 1, to Janet Simmons in Event Services.""}}",,,,,What is the main purpose of the sign?,To announce a holiday for students,To inform students of policy changes,To request feedback from students,To invite students to an event,To invite students to an event,,
22,Read in Daily Life,보통,1,01,Annual Awards Ceremony,"{""structure"":""notice"",""color"":""teal"",""fields"":{""title"":""Annual Awards Ceremony"",""subtitle"":"""",""body"":""Friday, 20 December, at 3:00 P.M. in Stadler Gymnasium.\nJoin us to celebrate outstanding student-athlete achievements for this academic year. Awardees will receive gift certificates. Reception follows immediately in the lobby.\nRSVP by Wednesday, December 1, to Janet Simmons in Event Services.""}}",,,,,What will Janet Simmons do?,Give out gift certificates,Collect names,Determine the winners,Host a reception,Host a reception,,
23,Read in Daily Life,보통,1,01,Campus International Festival,"{""structure"":""flyer"",""color"":""teal"",""fields"":{""title"":""Celebrate global culture at the Campus International Festival!"",""body"":""Over the course of two days this spring, students, faculty, staff, and local community members will gather on the university quad to present traditions from over 20 countries through music, food, and art.\n\n• Performances will include African drumming and Celtic harp.\n• Cooking demonstrations will teach the preparation of authentic dishes ranging from Italian pasta to Japanese sushi.\n• Storytelling sessions will showcase folkloric traditions from multiple regions.\n• The Global Market will feature handmade crafts and textiles.\n• Workshops will invite attendees to try cultural dances, explore calligraphy, and communicate in new languages.\n• Student groups will also host panels on diversity and inclusion, encouraging cross-campus dialogue.\n• Families are welcome: The Children's Corner will offer creative art projects and storytelling.\n\nTicket proceeds will support student-led community-building initiatives, reinforcing the festival's mission to celebrate diversity and unity while strengthening ties between the campus and its host community.""}}",,,,,The advertisement indicates that festivalgoers will be able to do which of the following?,Practice African drumming,Learn how to make sushi,Try making traditional craft items,Enroll children in music classes,Learn how to make sushi,,
24,Read in Daily Life,보통,1,01,Campus International Festival,"{""structure"":""flyer"",""color"":""teal"",""fields"":{""title"":""Celebrate global culture at the Campus International Festival!"",""body"":""Over the course of two days this spring, students, faculty, staff, and local community members will gather on the university quad to present traditions from over 20 countries through music, food, and art.\n\n• Performances will include African drumming and Celtic harp.\n• Cooking demonstrations will teach the preparation of authentic dishes ranging from Italian pasta to Japanese sushi.\n• Storytelling sessions will showcase folkloric traditions from multiple regions.\n• The Global Market will feature handmade crafts and textiles.\n• Workshops will invite attendees to try cultural dances, explore calligraphy, and communicate in new languages.\n• Student groups will also host panels on diversity and inclusion, encouraging cross-campus dialogue.\n• Families are welcome: The Children's Corner will offer creative art projects and storytelling.\n\nTicket proceeds will support student-led community-building initiatives, reinforcing the festival's mission to celebrate diversity and unity while strengthening ties between the campus and its host community.""}}",,,,,The advertisement suggests that students will support the festival in all of the following ways EXCEPT by,sharing some traditions from their own cultures,discussing how to improve cross-cultural communication on campus,purchasing tickets to the festival,preparing food to be sold as a fundraising effort,preparing food to be sold as a fundraising effort,,
25,Read in Daily Life,보통,1,01,Campus International Festival,"{""structure"":""flyer"",""color"":""teal"",""fields"":{""title"":""Celebrate global culture at the Campus International Festival!"",""body"":""Over the course of two days this spring, students, faculty, staff, and local community members will gather on the university quad to present traditions from over 20 countries through music, food, and art.\n\n• Performances will include African drumming and Celtic harp.\n• Cooking demonstrations will teach the preparation of authentic dishes ranging from Italian pasta to Japanese sushi.\n• Storytelling sessions will showcase folkloric traditions from multiple regions.\n• The Global Market will feature handmade crafts and textiles.\n• Workshops will invite attendees to try cultural dances, explore calligraphy, and communicate in new languages.\n• Student groups will also host panels on diversity and inclusion, encouraging cross-campus dialogue.\n• Families are welcome: The Children's Corner will offer creative art projects and storytelling.\n\nTicket proceeds will support student-led community-building initiatives, reinforcing the festival's mission to celebrate diversity and unity while strengthening ties between the campus and its host community.""}}",,,,,What can be inferred about the festival's broader goals beyond entertainment?,It is designed to raise the university's profile among prospective students.,It is intended to generate funding for the university's arts programs.,It seeks to build connections between the university and local residents.,It aims to encourage students to study abroad.,It seeks to build connections between the university and local residents.,,
26,Read an Academic Passage,보통,1,01,Social Role Theory,"Social role theory is a significant framework in theoretical sociology, explaining how individuals adopt roles based on societal expectations. Society is structured by roles, each with specific behaviors and norms. A key aspect of social role theory is role conflict, which occurs when the expectations of one role clash with those of another. For instance, a person who is both a parent and an employee might struggle to balance caring for their children and meeting work obligations. This conflict can lead to stress and decreased performance in one or both roles. Another important concept is role strain, which is stress within a single role due to competing demands or insufficient resources. An example is a teacher who feels overwhelmed by the need to manage classroom behavior while also keeping lessons engaging. Social role theory also addresses how roles change over time. As society evolves, the expectations attached to roles can shift. For example, the role of women in the workforce has changed dramatically, with increasing acceptance of women in leadership. Understanding these dynamics is crucial for analyzing how social structures impact individual behavior and societal change.",,,,,"The word ""norms"" in the passage is closest in meaning to",long histories,hidden benefits,practical effects,unwritten rules,unwritten rules,,
27,Read an Academic Passage,보통,1,01,Social Role Theory,"Social role theory is a significant framework in theoretical sociology, explaining how individuals adopt roles based on societal expectations. Society is structured by roles, each with specific behaviors and norms. A key aspect of social role theory is role conflict, which occurs when the expectations of one role clash with those of another. For instance, a person who is both a parent and an employee might struggle to balance caring for their children and meeting work obligations. This conflict can lead to stress and decreased performance in one or both roles. Another important concept is role strain, which is stress within a single role due to competing demands or insufficient resources. An example is a teacher who feels overwhelmed by the need to manage classroom behavior while also keeping lessons engaging. Social role theory also addresses how roles change over time. As society evolves, the expectations attached to roles can shift. For example, the role of women in the workforce has changed dramatically, with increasing acceptance of women in leadership. Understanding these dynamics is crucial for analyzing how social structures impact individual behavior and societal change.",,,,,"Why does the passage mention ""a person who is both a parent and an employee""?",To show how a person can balance multiple obligations,To imply that roles are not always rigidly defined,To illustrate the concept of role conflict,To emphasize the importance of good childcare,To illustrate the concept of role conflict,,
28,Read an Academic Passage,보통,1,01,Social Role Theory,"Social role theory is a significant framework in theoretical sociology, explaining how individuals adopt roles based on societal expectations. Society is structured by roles, each with specific behaviors and norms. A key aspect of social role theory is role conflict, which occurs when the expectations of one role clash with those of another. For instance, a person who is both a parent and an employee might struggle to balance caring for their children and meeting work obligations. This conflict can lead to stress and decreased performance in one or both roles. Another important concept is role strain, which is stress within a single role due to competing demands or insufficient resources. An example is a teacher who feels overwhelmed by the need to manage classroom behavior while also keeping lessons engaging. Social role theory also addresses how roles change over time. As society evolves, the expectations attached to roles can shift. For example, the role of women in the workforce has changed dramatically, with increasing acceptance of women in leadership. Understanding these dynamics is crucial for analyzing how social structures impact individual behavior and societal change.",,,,,"Why does the passage mention ""a teacher""?",To support the idea that social role theory is often difficult to understand,To explain how a person might experience competing demands within a role,To imply that the resources provided to teachers are often insufficient,To demonstrate how behavioral issues make learning difficult for everyone,To explain how a person might experience competing demands within a role,,
